"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"ES(SEP25)";"SELL";"-125";"-5";"2";"8,28";"6477";"6478,25";"2025-08-13 10:30:00";"2025-08-13 10:35:11";"2,8";"3,5";"350";"35657255704";"35657269804"
"ES(SEP25)";"SELL";"50";"2";"2";"8,28";"6479,5";"6479";"2025-08-13 10:22:36";"2025-08-13 10:27:51";"3,5";"1,75";"175";"35657240004";"35657251304"
"ES(SEP25)";"SELL";"325";"13";"2";"8,28";"6476,5";"6473,25";"2025-08-13 09:47:30";"2025-08-13 10:13:19";"1,1";"3,5";"350";"35657141004";"35657209004"
"ES(SEP25)";"SELL";"325";"13";"2";"8,28";"6480,5";"6477,25";"2025-08-13 09:46:01";"2025-08-13 09:47:22";"0,2";"0,75";"75";"35657136104";"35657140204"
"ES(SEP25)";"SELL";"650";"26";"2";"8,28";"6483,75";"6477,25";"2025-08-13 09:26:36";"2025-08-13 09:47:22";"0,3";"2";"200";"35657083704";"35657140204"
"ES(SEP25)";"SELL";"-750";"-30";"2";"8,28";"6479,75";"6487,25";"2025-08-13 06:54:45";"2025-08-13 07:44:16";"1";"7,5";"750";"35656780504";"35656781004"
"ES(SEP25)";"SELL";"-175";"-14";"1";"4,14";"6478";"6481,5";"2025-08-13 04:31:23";"2025-08-13 06:49:09";"1,9";"6,5";"325";"35656688404";"35656777804"
"ES(SEP25)";"SELL";"-250";"-10";"2";"8,28";"6479";"6481,5";"2025-08-13 05:47:26";"2025-08-13 06:49:09";"1,8";"4,5";"450";"35656733804";"35656777804"
"ES(SEP25)";"BUY";"-12,5";"-1";"1";"4,14";"6478,5";"6478,25";"2025-08-13 04:29:43";"2025-08-13 04:30:32";"1,9";"0,5";"25";"35656686904";"35656688304"
"ES(SEP25)";"BUY";"87,5";"7";"1";"4,14";"6474,5";"6476,25";"2025-08-13 02:16:10";"2025-08-13 02:19:20";"0,3";"0,5";"25";"35656617204";"35656619204"
"ES(SEP25)";"BUY";"75";"6";"1";"4,14";"6474,5";"6476";"2025-08-13 02:16:10";"2025-08-13 02:19:20";"0,3";"0,5";"25";"35656617204";"35656619204"
"ES(SEP25)";"BUY";"1275";"51";"2";"8,28";"6430,75";"6443,5";"2025-08-12 09:41:26";"2025-08-12 10:01:36";"0";"0,25";"25";"35656187604";"35656231704"
"ES(SEP25)";"SELL";"-1225";"-49";"2";"8,28";"6420";"6432,25";"2025-08-12 09:05:16";"2025-08-12 09:41:04";"1,3";"16,5";"1650";"35656110304";"35656186804"
"ES(SEP25)";"SELL";"425";"17";"2";"8,28";"6414,25";"6410";"2025-08-12 08:59:05";"2025-08-12 09:00:51";"0,3";"1,25";"125";"35656076504";"35656095104"
"ES(SEP25)";"SELL";"725";"29";"2";"8,28";"6422,25";"6415";"2025-08-12 08:45:11";"2025-08-12 08:58:41";"1";"7,25";"725";"35655962704";"35656074004"
"ES(SEP25)";"BUY";"-750";"-30";"2";"8,28";"6437";"6429,5";"2025-08-12 08:42:06";"2025-08-12 08:44:29";"1";"7,75";"775";"35655953704";"35655954004"
"ES(SEP25)";"BUY";"175";"14";"1";"4,14";"6398,25";"6401,75";"2025-08-12 07:05:42";"2025-08-12 07:14:33";"0,2";"0,75";"38";"35655844304";"35655847704"
"ES(SEP25)";"BUY";"150";"12";"1";"4,14";"6398,75";"6401,75";"2025-08-12 07:05:50";"2025-08-12 07:14:33";"0,4";"1,25";"63";"35655844604";"35655847704"
"ES(SEP25)";"SELL";"575";"23";"2";"8,28";"6401,25";"6395,5";"2025-08-12 04:59:03";"2025-08-12 06:09:21";"0";"0,25";"25";"35655793104";"35655823704"
"ES(SEP25)";"SELL";"550";"22";"2";"8,28";"6401";"6395,5";"2025-08-12 04:59:09";"2025-08-12 06:09:21";"0,1";"0,5";"50";"35655793304";"35655823704"
